,Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply,52 Week Range,Day Chart
180,BTRST-USD,Braintrust USD,0.920184,0.005587,+0.61%,121.613M,566490,566490,566490,132.162M,,
181,DAO-USD,DAO Maker USD,0.830123,0.006305,+0.77%,119.49M,861818,861818,861818,143.943M,,
182,ZEN-USD,Horizen USD,8.9946,-0.0166,-0.18%,118.924M,7.559M,7.559M,7.559M,13.222M,,
183,NFT9816-USD,APENFT USD,4.2e-07,-1e-08,-1.74%,117.564M,11.841M,11.841M,11.841M,277.081T,,
184,SSV-USD,ssv.network USD,11.69,0.94,+8.71%,116.92M,3.834M,3.834M,3.834M,10M,,
185,CTC-USD,Creditcoin USD,0.54095,0.011265,+2.13%,112.114M,13.384M,13.384M,13.384M,207.254M,,
186,BABYDOGE-USD,Baby Doge Coin USD,0.0,0.0,+2.07%,111.595M,2.373M,2.373M,2.373M,"115,113.336T",,
187,OCEAN-USD,Ocean Protocol USD,0.17801,0.013295,+8.07%,109.138M,23.782M,23.782M,23.782M,613.099M,,
188,STORJ-USD,Storj USD,0.258553,0.007203,+2.87%,106.766M,6.567M,6.567M,6.567M,412.937M,,
189,SXP-USD,SXP USD,0.20938,0.003322,+1.61%,106.699M,5.154M,5.154M,5.154M,509.596M,,
190,PEOPLE-USD,ConstitutionDAO USD,0.02108,0.00078,+3.84%,106.669M,13.113M,13.113M,13.113M,5.06B,,
191,UMA-USD,UMA USD,1.5463,0.0256,+1.68%,106.613M,6.034M,6.034M,6.034M,68.947M,,
192,SCRT-USD,Secret USD,0.647093,0.02907,+4.70%,105.667M,2.897M,2.897M,2.897M,163.296M,,
193,RNDR-USD,Render Token USD,0.415536,0.006165,+1.51%,105.462M,24.494M,24.494M,24.494M,253.799M,,
194,MAGIC14783-USD,MAGIC USD,0.511048,0.019565,+3.98%,105.259M,10.951M,10.951M,10.951M,205.968M,,
195,VUSDC-USD,Venus USDC USD,0.021786,-1e-06,-0.00%,103.941M,9.762M,9.762M,9.762M,4.771B,,
196,BORA-USD,BORA USD,0.110186,0.001405,+1.29%,102.198M,2.895M,2.895M,2.895M,927.5M,,
197,WAXP-USD,WAX USD,0.043541,0.001142,+2.69%,101.516M,4.459M,4.459M,4.459M,2.332B,,
198,INJ-USD,Injective USD,1.3527,0.0475,+3.64%,98.756M,7.938M,7.938M,7.938M,73.006M,,
199,VVS-USD,VVS Finance USD,3.04e-06,9e-08,+2.89%,95.785M,650674,650674,650674,31.493T,,
200,RLC-USD,iExec RLC USD,1.1773,0.0073,+0.62%,95.363M,9.631M,9.631M,9.631M,81M,,
201,TRIBE-USD,Tribe USD,0.208255,0.007022,+3.49%,94.433M,1.029M,1.029M,1.029M,453.449M,,
202,USDX6651-USD,USDX [Kava] USD,0.845789,0.008807,+1.05%,94.362M,288839,288839,288839,111.567M,,
203,XYO-USD,XYO USD,0.007324,0.001943,+36.10%,94.074M,34.661M,34.661M,34.661M,12.845B,,
204,RBN-USD,Ribbon Finance USD,0.177656,-0.005053,-2.77%,93.983M,767724,767724,767724,529.016M,,
205,LSK-USD,Lisk USD,0.719626,0.007352,+1.03%,92.76M,3.194M,3.194M,3.194M,128.9M,,
206,SKL-USD,SKALE USD,0.02207,0.000696,+3.25%,91.647M,5.38M,5.38M,5.38M,4.153B,,
207,ANT-USD,Aragon USD,2.1789,0.0964,+4.63%,91.422M,22.211M,22.211M,22.211M,41.958M,,
208,EWT-USD,Energy Web Token USD,3.0226,0.1053,+3.61%,90.866M,853407,853407,853407,30.062M,,
209,ABBC-USD,ABBC Coin USD,0.086668,0.002738,+3.26%,90.719M,10.211M,10.211M,10.211M,1.047B,,
210,FET-USD,Fetch.ai USD,0.110598,0.008959,+8.81%,90.57M,39.742M,39.742M,39.742M,818.912M,,
211,WEMIX-USD,WEMIX USD,0.360711,0.001215,+0.34%,90.21M,1.082M,1.082M,1.082M,250.088M,,
212,ELF-USD,aelf USD,0.169237,0.007056,+4.35%,89.27M,15.705M,15.705M,15.705M,527.489M,,
213,ANY-USD,Anyswap USD,4.7661,0.0827,+1.77%,88.836M,2444,2444,2444,18.639M,,
214,SLP-USD,Smooth Love Potion USD,0.002067,4.1e-05,+2.00%,88.147M,6.788M,6.788M,6.788M,42.647B,,
215,DEXE-USD,DeXe USD,2.404,0.0241,+1.01%,87.68M,2.245M,2.245M,2.245M,36.473M,,
216,XNO-USD,Nano USD,0.654738,0.010018,+1.55%,87.243M,879903,879903,879903,133.248M,,
217,MC-USD,Merit Circle USD,0.270064,0.000587,+0.22%,86.988M,2.443M,2.443M,2.443M,322.102M,,
218,MX-USD,MX TOKEN USD,0.867139,0.004272,+0.50%,86.714M,1.139M,1.139M,1.139M,100M,,
219,REQ-USD,Request USD,0.086582,0.00104,+1.22%,86.567M,2.232M,2.232M,2.232M,999.83M,,
220,VGX-USD,Voyager Token USD,0.309182,0.002479,+0.81%,86.102M,3.615M,3.615M,3.615M,278.482M,,
221,AVINOC-USD,AVINOC USD,0.214724,0.004168,+1.98%,83.58M,595911,595911,595911,389.244M,,
222,PUNDIX-USD,Pundi X (New) USD,0.323048,0.007402,+2.34%,83.505M,4.466M,4.466M,4.466M,258.492M,,
223,MXC-USD,MXC USD,0.030978,-3.5e-05,-0.11%,81.848M,6.187M,6.187M,6.187M,2.642B,,
